E[P(A)],E[P(B)],Method,score
0.1,0.1,Greedy,0.0994
0.1,0.1,Ɛ-Greedy,0.1048
0.1,0.1,UCB,0.1072
0.1,0.1,Thompson Sampling,0.0978
0.1,0.2,Greedy,0.1894
0.1,0.2,Ɛ-Greedy,0.19820000000000002
0.1,0.2,UCB,0.192
0.1,0.2,Thompson Sampling,0.1988
0.1,0.3,Greedy,0.1012
0.1,0.3,Ɛ-Greedy,0.2952
0.1,0.3,UCB,0.28359999999999996
0.1,0.3,Thompson Sampling,0.30920000000000003
0.1,0.4,Greedy,0.404
0.1,0.4,Ɛ-Greedy,0.38780000000000003
0.1,0.4,UCB,0.3914
0.1,0.4,Thompson Sampling,0.40120000000000006
0.1,0.5,Greedy,0.5006
0.1,0.5,Ɛ-Greedy,0.4816
0.1,0.5,UCB,0.48319999999999996
0.1,0.5,Thompson Sampling,0.49640000000000006
0.1,0.6,Greedy,0.6073999999999999
0.1,0.6,Ɛ-Greedy,0.5738000000000001
0.1,0.6,UCB,0.5915999999999999
0.1,0.6,Thompson Sampling,0.5913999999999999
0.1,0.7,Greedy,0.6977999999999999
0.1,0.7,Ɛ-Greedy,0.6738
0.1,0.7,UCB,0.6872
0.1,0.7,Thompson Sampling,0.704
0.1,0.8,Greedy,0.7932
0.1,0.8,Ɛ-Greedy,0.7750000000000001
0.1,0.8,UCB,0.7936000000000002
0.1,0.8,Thompson Sampling,0.8022
0.1,0.9,Greedy,0.9022
0.1,0.9,Ɛ-Greedy,0.8593999999999999
0.1,0.9,UCB,0.8958
0.1,0.9,Thompson Sampling,0.9012
0.2,0.1,Greedy,0.2032
0.2,0.1,Ɛ-Greedy,0.18619999999999998
0.2,0.1,UCB,0.20340000000000003
0.2,0.1,Thompson Sampling,0.1982
0.2,0.2,Greedy,0.20459999999999998
0.2,0.2,Ɛ-Greedy,0.197
0.2,0.2,UCB,0.2012
0.2,0.2,Thompson Sampling,0.19559999999999997
0.2,0.3,Greedy,0.3054
0.2,0.3,Ɛ-Greedy,0.2972
0.2,0.3,UCB,0.2878
0.2,0.3,Thompson Sampling,0.28179999999999994
0.2,0.4,Greedy,0.3978
0.2,0.4,Ɛ-Greedy,0.38520000000000004
0.2,0.4,UCB,0.3848
0.2,0.4,Thompson Sampling,0.38760000000000006
0.2,0.5,Greedy,0.189
0.2,0.5,Ɛ-Greedy,0.4814
0.2,0.5,UCB,0.488
0.2,0.5,Thompson Sampling,0.501
0.2,0.6,Greedy,0.6006
0.2,0.6,Ɛ-Greedy,0.5763999999999999
0.2,0.6,UCB,0.599
0.2,0.6,Thompson Sampling,0.5958
0.2,0.7,Greedy,0.7007999999999999
0.2,0.7,Ɛ-Greedy,0.668
0.2,0.7,UCB,0.6927999999999999
0.2,0.7,Thompson Sampling,0.6991999999999999
0.2,0.8,Greedy,0.7916000000000001
0.2,0.8,Ɛ-Greedy,0.7726
0.2,0.8,UCB,0.8002
0.2,0.8,Thompson Sampling,0.7939999999999999
0.2,0.9,Greedy,0.9004
0.2,0.9,Ɛ-Greedy,0.858
0.2,0.9,UCB,0.897
0.2,0.9,Thompson Sampling,0.8976000000000001
0.3,0.1,Greedy,0.10540000000000001
0.3,0.1,Ɛ-Greedy,0.27799999999999997
0.3,0.1,UCB,0.2892
0.3,0.1,Thompson Sampling,0.307
0.3,0.2,Greedy,0.30860000000000004
0.3,0.2,Ɛ-Greedy,0.29379999999999995
0.3,0.2,UCB,0.28179999999999994
0.3,0.2,Thompson Sampling,0.30419999999999997
0.3,0.3,Greedy,0.296
0.3,0.3,Ɛ-Greedy,0.297
0.3,0.3,UCB,0.3012
0.3,0.3,Thompson Sampling,0.2998
0.3,0.4,Greedy,0.2924
0.3,0.4,Ɛ-Greedy,0.39380000000000004
0.3,0.4,UCB,0.3902
0.3,0.4,Thompson Sampling,0.398
0.3,0.5,Greedy,0.296
0.3,0.5,Ɛ-Greedy,0.4896
0.3,0.5,UCB,0.4918
0.3,0.5,Thompson Sampling,0.4976
0.3,0.6,Greedy,0.6013999999999999
0.3,0.6,Ɛ-Greedy,0.5778000000000001
0.3,0.6,UCB,0.5933999999999999
0.3,0.6,Thompson Sampling,0.5968
0.3,0.7,Greedy,0.6986000000000001
0.3,0.7,Ɛ-Greedy,0.6783999999999999
0.3,0.7,UCB,0.6918
0.3,0.7,Thompson Sampling,0.6974
0.3,0.8,Greedy,0.8065999999999999
0.3,0.8,Ɛ-Greedy,0.7670000000000001
0.3,0.8,UCB,0.8012
0.3,0.8,Thompson Sampling,0.8006
0.3,0.9,Greedy,0.306
0.3,0.9,Ɛ-Greedy,0.8688
0.3,0.9,UCB,0.8974
0.3,0.9,Thompson Sampling,0.9014000000000001
0.4,0.1,Greedy,0.1032
0.4,0.1,Ɛ-Greedy,0.39740000000000003
0.4,0.1,UCB,0.3892
0.4,0.1,Thompson Sampling,0.4022
0.4,0.2,Greedy,0.4
0.4,0.2,Ɛ-Greedy,0.38480000000000003
0.4,0.2,UCB,0.3834
