N=0,N=5,N=50
299,15,21
301,18,18
485,16,23
268,19,15
351,15,18
64,17,15
373,20,15
232,16,15
145,15,17
199,15,15
272,16,18
151,15,15
125,18,15
187,15,18
222,15,17
120,15,15
77,17,15
190,23,17
199,25,17
98,16,17
70,17,18
174,19,17
45,18,17
197,17,15
85,19,17
221,18,15
41,15,17
152,16,16
35,17,17
148,16,18
110,17,17
152,15,15
90,17,16
106,15,15
43,17,16
116,17,17
66,17,17
108,16,15
93,15,17
113,16,16
52,17,20
92,15,17
129,16,17
89,16,17
73,16,18
50,15,15
135,15,20
71,19,19
66,15,18
79,15,17
35,17,15
134,15,17
38,21,17
145,17,15
51,16,19
33,17,15
46,15,15
95,15,15
46,20,21
58,18,17
108,17,15
85,17,15
51,15,17
87,18,16
105,15,17
64,16,17
47,15,19
69,17,19
29,16,15
103,16,15
81,15,17
51,20,18
81,17,17
34,18,16
33,15,21
115,15,19
27,15,19
77,15,18
30,21,15
42,20,19
38,15,16
129,16,15
29,15,15
30,15,22
86,18,15
66,15,19
41,16,15
37,15,17
38,19,21
48,17,18
39,15,15
133,21,17
40,17,15
37,18,15
78,15,15
77,17,19
38,15,15
33,15,15
74,17,15
37,21,15
23,17,15
60,15,19
62,15,17
34,15,15
57,23,16
32,15,15
23,15,15
104,16,18
32,16,17
23,17,15
39,20,18
32,17,18
27,21,17
36,17,15
124,17,15
32,19,15
25,19,17
91,17,15
32,18,16
45,17,15
24,19,15
41,17,15
27,16,15
45,16,20
27,15,16
37,16,19
97,15,17
29,16,21
36,19,19
41,16,15
29,17,15
105,17,15
22,15,17
19,15,15
50,15,17
22,15,17
26,15,17
113,19,15
40,17,17
18,16,17
25,15,17
65,15,15
25,15,16
24,19,21
28,15,15
25,16,16
94,15,15
38,17,15
29,15,17
36,15,15
40,15,15
29,15,16
96,17,15
21,17,22
23,15,17
32,15,17
19,16,17
44,20,15
20,16,16
30,17,17
24,21,21
23,16,16
22,15,15
30,15,17
26,18,15
92,17,17
33,17,15
34,15,15
20,15,17
26,15,19
26,16,17
87,17,15
26,19,15
23,16,18
28,15,16
24,15,15
40,19,15
32,22,15
20,17,17
22,18,17
25,18,15
22,17,15
20,18,15
40,19,16
23,17,19
22,20,17
26,16,15
20,15,17
125,18,17
28,16,18
23,17,15
23,18,17
30,19,15
28,15,17
54,17,16
22,19,15
20,15,15
21,18,18
19,17,16
17,20,18
27,19,20
68,19,20
17,16,18
20,16,16
29,16,15
22,17,16
23,15,18
17,21,15
83,16,17
24,19,15
19,18,15
22,16,17
19,17,15
50,15,17
31,15,20
49,20,19
22,15,16
43,16,16
16,18,15
17,19,17
27,17,15
25,20,15
23,17,15
22,15,15
17,15,17
16,15,18
23,16,18
29,19,15
18,17,16
16,16,18
18,15,15
22,15,17
125,20,15
18,17,15
16,17,17
23,15,17
59,19,19
23,16,21
21,18,15
16,19,15
24,16,22
49,16,17
18,18,15
17,17,15
18,15,15
16,15,17
20,15,15
25,23,15
23,15,15
19,16,17
35,15,15
57,19,15
18,15,15
16,15,15
19,20,21
23,18,17
36,16,15
21,15,17
19,15,18
29,18,15
21,17,17
92,17,17
17,17,17
25,15,15
29,16,17
15,18,15
16,21,19
16,15,22
20,15,17
25,15,21
19,20,17
15,15,17
19,19,15
34,17,15
16,16,15
21,16,16
21,15,16
20,19,17
17,24,15
17,19,17
53,17,15
23,15,19
31,18,19
25,15,17
16,15,15
69,17,20
18,17,19
21,22,18
16,21,17
19,17,18
17,15,18
17,15,20
20,22,17
23,19,15
18,15,18
18,17,15
20,15,20
18,17,16
20,15,15
20,15,18
24,15,21
23,15,15
17,15,15
15,20,17
55,15,15
21,17,21
68,17,15
18,15,19
19,17,17
17,17,16
15,21,20
17,21,16
15,15,15
25,21,15
21,17,16
15,18,15
17,17,15
44,20,17
18,18,15
16,16,15
16,18,15
18,17,15
53,18,17
15,17,19
16,15,15
16,17,17
23,21,15
18,19,15
16,15,17
22,15,17
24,17,21
15,19,15
25,15,15
17,23,16
15,16,18
59,19,19
18,17,15
18,15,15
18,19,15
16,16,15
17,15,22
17,20,17
19,18,17
20,15,17
15,19,15
22,17,16
16,15,17
18,17,16
15,15,20
18,21,15
17,17,17
21,22,21
18,15,17
17,15,15
26,15,20
21,21,16
19,16,15
21,19,16
16,16,16
15,15,15
15,16,17
17,17,15
87,20,18
18,18,17
15,19,15
19,16,15
15,18,15
23,15,18
18,17,15
16,20,17
36,18,17
19,15,15
16,15,17
15,17,17
46,17,17
17,21,15
20,22,15
23,17,15
18,17,18
19,16,17
16,16,21
16,15,15
19,15,15
18,17,15
26,15,18
17,17,19
19,15,20
17,20,15
20,15,18
15,15,15
19,23,15
18,15,19
19,20,15
22,18,17
18,15,20
19,15,15
52,18,18
15,15,24
22,15,17
15,20,21
17,15,17
17,20,17
22,17,18
17,17,15
16,23,18
48,15,15
16,17,19
18,17,15
17,19,19
18,16,16
17,16,17
16,17,17
20,19,17
19,20,17
18,17,15
16,15,17
55,20,16
16,18,19
17,15,16
22,15,21
16,15,16
17,17,15
15,15,15
15,16,16
19,15,17
17,15,16
15,18,15
15,16,15
15,20,15
26,16,16
18,17,15
22,16,17
15,15,16
17,18,15
17,17,15
21,15,17
17,15,17
19,17,17
16,19,17
16,17,15
17,17,15
28,15,17
17,18,16
51,18,18
18,15,15
16,17,17
17,15,20
15,22,20
18,16,15
18,19,19
15,17,15
15,16,15
20,16,15
22,17,15
51,17,15
20,15,19
18,19,15
18,15,16
16,17,17
15,15,18
17,16,17
21,18,15
17,22,20
15,16,15
15,17,16
18,15,20
15,15,19
20,16,18
21,15,15
18,17,19
15,17,18
19,15,18
15,20,15
15,15,22
15,18,16
17,19,16
26,15,18
96,15,16
16,15,18
17,17,15
20,17,19
17,19,16
20,17,15
18,15,17
16,18,19
15,16,20
15,15,20
22,15,17
17,15,17
15,15,17
16,15,17
17,15,19
18,17,17
17,15,19
15,18,18
15,15,16
15,20,15
17,15,15
16,15,17
18,17,18
16,15,15
17,16,15
15,15,18
15,21,15
20,17,17
16,19,15
17,16,17
15,17,15
15,16,19
15,15,21
18,19,16
20,15,17
15,17,17
55,16,16
17,17,16
18,17,20
19,16,19
15,19,17
15,15,23
16,17,19
15,21,16
19,15,15
15,17,16
19,17,15
18,15,15
16,17,16
20,15,17
17,15,19
15,17,22
16,16,19
18,17,17
20,20,17
18,19,22
15,19,18
15,15,15
15,18,17
29,15,15
16,17,15
18,21,16
18,17,16
16,15,18
15,15,17
17,17,15
